instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,miscalc,quarter
1,2011-01-01,1,0,1,0,0,6,0,1,9.84,14.6829,81.0,0.0,3,13,16,0,q1
2,2011-01-01,1,0,1,1,0,6,0,1,9.02,13.9077,80.0,0.0,8,32,40,0,q1
3,2011-01-01,1,0,1,2,0,6,0,1,9.02,13.9077,80.0,0.0,5,27,32,0,q1
4,2011-01-01,1,0,1,3,0,6,0,1,9.84,14.6829,75.0,0.0,3,10,13,0,q1
5,2011-01-01,1,0,1,4,0,6,0,1,9.84,14.6829,75.0,0.0,0,1,1,0,q1
6,2011-01-01,1,0,1,5,0,6,0,2,9.84,13.137599999999999,75.0,6.0032,0,1,1,0,q1
7,2011-01-01,1,0,1,6,0,6,0,1,9.02,13.9077,80.0,0.0,2,0,2,0,q1
8,2011-01-01,1,0,1,7,0,6,0,1,8.200000000000001,13.137599999999999,86.0,0.0,1,2,3,0,q1
9,2011-01-01,1,0,1,8,0,6,0,1,9.84,14.6829,75.0,0.0,1,7,8,0,q1
10,2011-01-01,1,0,1,9,0,6,0,1,13.120000000000001,17.7735,76.0,0.0,8,6,14,0,q1
11,2011-01-01,1,0,1,10,0,6,0,1,15.58,20.0889,76.0,16.997899999999998,12,24,36,0,q1
12,2011-01-01,1,0,1,11,0,6,0,1,14.76,16.9983,81.0,19.0012,26,30,56,0,q1
13,2011-01-01,1,0,1,12,0,6,0,1,17.22,21.6342,77.0,19.0012,29,55,84,0,q1
14,2011-01-01,1,0,1,13,0,6,0,2,18.86,23.1795,72.0,19.999499999999998,47,47,94,0,q1
15,2011-01-01,1,0,1,14,0,6,0,2,18.86,23.1795,72.0,19.0012,35,71,106,0,q1
16,2011-01-01,1,0,1,15,0,6,0,2,18.04,22.4094,77.0,19.999499999999998,40,70,110,0,q1
17,2011-01-01,1,0,1,16,0,6,0,2,17.22,21.6342,82.0,19.999499999999998,41,52,93,0,q1
18,2011-01-01,1,0,1,17,0,6,0,2,18.04,22.4094,82.0,19.0012,15,52,67,0,q1
19,2011-01-01,1,0,1,18,0,6,0,3,17.22,21.6342,88.0,16.997899999999998,9,26,35,0,q1
20,2011-01-01,1,0,1,19,0,6,0,3,17.22,21.6342,88.0,16.997899999999998,6,31,37,0,q1
21,2011-01-01,1,0,1,20,0,6,0,2,16.400000000000002,20.8641,87.0,16.997899999999998,11,25,36,0,q1
22,2011-01-01,1,0,1,21,0,6,0,2,16.400000000000002,20.8641,87.0,12.998000000000001,3,31,34,0,q1
23,2011-01-01,1,0,1,22,0,6,0,2,16.400000000000002,20.8641,94.0,15.001299999999999,11,17,28,0,q1
24,2011-01-01,1,0,1,23,0,6,0,2,18.86,23.1795,88.0,19.999499999999998,15,24,39,0,q1
25,2011-01-02,1,0,1,0,0,0,0,2,18.86,23.1795,88.0,19.999499999999998,4,13,17,0,q1
26,2011-01-02,1,0,1,1,0,0,0,2,18.04,22.4094,94.0,16.997899999999998,1,16,17,0,q1
27,2011-01-02,1,0,1,2,0,0,0,2,17.22,21.6342,100.0,19.0012,1,8,9,0,q1
28,2011-01-02,1,0,1,3,0,0,0,2,18.86,23.1795,94.0,12.998000000000001,2,4,6,0,q1
29,2011-01-02,1,0,1,4,0,0,0,2,18.86,23.1795,94.0,12.998000000000001,2,1,3,0,q1
30,2011-01-02,1,0,1,6,0,0,0,3,17.22,21.6342,77.0,19.999499999999998,0,2,2,0,q1
31,2011-01-02,1,0,1,7,0,0,0,2,16.400000000000002,20.8641,76.0,12.998000000000001,0,1,1,0,q1
32,2011-01-02,1,0,1,8,0,0,0,3,16.400000000000002,20.8641,71.0,15.001299999999999,0,8,8,0,q1
33,2011-01-02,1,0,1,9,0,0,0,2,15.58,20.0889,76.0,15.001299999999999,1,19,20,0,q1
34,2011-01-02,1,0,1,10,0,0,0,2,14.76,17.7735,81.0,15.001299999999999,7,46,53,0,q1
35,2011-01-02,1,0,1,11,0,0,0,2,14.76,16.9983,71.0,16.997899999999998,16,54,70,0,q1
36,2011-01-02,1,0,1,12,0,0,0,2,14.76,16.9983,66.0,19.999499999999998,20,73,93,0,q1
37,2011-01-02,1,0,1,13,0,0,0,2,14.76,17.7735,66.0,8.9981,11,64,75,0,q1
38,2011-01-02,1,0,1,14,0,0,0,3,14.76,17.7735,76.0,12.998000000000001,4,55,59,0,q1
39,2011-01-02,1,0,1,15,0,0,0,3,13.940000000000001,16.9983,81.0,11.0014,19,55,74,0,q1
